0,1,2
-1.0117985,0.99223936,0.9670598
-1.0118951,0.9922652,0.9670236
-1.011946,0.9922718,0.9669749
-1.0118184,0.9922209,0.9668914
-1.0114678,0.9920746,0.96678966
-1.0109934,0.9918394,0.96668726
-1.0105952,0.99156344,0.9665658
-1.0104241,0.9913026,0.9663982
-1.010477,0.9911066,0.9662043
-1.010667,0.9910402,0.96605766
-1.0109532,0.9911901,0.9660246
-1.0113467,0.99159443,0.9661085
-1.0118467,0.99222076,0.9662779
-1.0123811,0.99297357,0.9665227
-1.0128431,0.993747,0.96685165
-1.0131825,0.99446726,0.96725553
-1.0134443,0.9951043,0.96766496
-1.0130061,0.99493134,0.96740645
-1.013094,0.99545777,0.9677327
-1.0134288,0.99600196,0.9674974
-1.0134513,0.9955783,0.96793926
-1.0135802,0.99497044,0.9682789
-1.0138626,0.99504566,0.96815914
-1.0140505,0.9941721,0.9682498
-1.0142697,0.9934859,0.96808076
-1.0141425,0.9929024,0.96786296
-1.0134313,0.992468,0.9680514
-1.0124924,0.9917724,0.9674573
-1.0116025,0.9911283,0.9670336
-1.0106274,0.9904952,0.9666395
-1.009759,0.9904227,0.9665538
-1.0092651,0.99015725,0.9663771
-1.008655,0.989679,0.9660724
-1.0080707,0.989429,0.9659519
-1.0075709,0.98938787,0.9660159
-1.0071591,0.98942685,0.96609855
-1.0068513,0.9894737,0.96611005
-1.0066789,0.98963284,0.9659937
-1.0066366,0.9898766,0.9658226
-1.0066667,0.9900502,0.96574426
-1.0066582,0.9900805,0.96574396
-1.0065342,0.98996556,0.9657305
-1.006338,0.9898609,0.9656995
-1.0061362,0.98982024,0.9657146
-1.0059266,0.9897783,0.9657898
-1.0056784,0.98967946,0.9658705
-1.0053922,0.9895425,0.9659129
-1.0050868,0.98940957,0.9659106
-1.0046358,0.98925364,0.96596617
-1.0041668,0.9889983,0.96604186
-1.00392,0.9892384,0.96622515
-1.0037128,0.98907495,0.9663135
-1.0032378,0.9885063,0.9664746
-1.0034832,0.9886788,0.9666225
-1.0033668,0.9885974,0.96658885
-1.0033674,0.98844194,0.96655965
-1.0033889,0.98822856,0.9665503
-1.0038315,0.98873055,0.9670453
-1.0037569,0.988574,0.96695983
-1.0037338,0.9884168,0.96685946
-1.0038618,0.98834205,0.9667705
-1.0040615,0.9882952,0.96675944
-1.0042052,0.9881221,0.9668364
-1.0042292,0.98783875,0.96692294
-1.0042597,0.9875281,0.96695554
-1.0044513,0.98729515,0.96692574
-1.0048556,0.9871404,0.96687245
-1.0054036,0.9869566,0.96683
-1.0060327,0.9866551,0.96681595
-1.0067713,0.98622143,0.96684283
-1.0076162,0.9856005,0.96690667
-1.0084141,0.9845917,0.9669702
-1.0090412,0.98301244,0.9669857
-1.0095762,0.9808806,0.9669152
-1.010172,0.9783088,0.9667627
-1.0108976,0.97533166,0.96655834
-1.0117463,0.97191143,0.9663359
-1.0126728,0.96799195,0.9661259
-1.0135913,0.9635291,0.96594286
-1.0144413,0.95853066,0.9657895
-1.0152426,0.95307326,0.96565366
-1.0160565,0.94728076,0.9654902
-1.0168875,0.94127166,0.9652271
-1.0176651,0.93513286,0.9647992
-1.0182685,0.9288477,0.96424174
-1.0185143,0.92264354,0.9635396
-1.0180568,0.91652393,0.962828
-1.0165396,0.91056347,0.9621021
-1.0138212,0.9045613,0.9615393
-1.0100645,0.89842725,0.96111566
-1.0054921,0.8920797,0.96075636
-1.0001296,0.8854152,0.96033907
-0.9938217,0.8782903,0.9597354
-0.986415,0.8705584,0.9588395
-0.9778886,0.8621937,0.9575392
-0.9683305,0.85335016,0.9557178
-0.9577887,0.8441893,0.953316
-0.94623363,0.8347653,0.9503448
-0.9336177,0.82504773,0.9469041
-0.9198471,0.81494284,0.9432771
-0.90475225,0.8042952,0.9399888
-0.8881356,0.7929708,0.9378489
-0.8695549,0.7808987,0.93710756
-0.8490726,0.7678584,0.9384256
-0.826815,0.75368893,0.9417198
-0.8031374,0.73855925,0.9463018
-0.77875656,0.7230272,0.951271
-0.75469506,0.70775163,0.95588773
-0.7317957,0.69300437,0.9597356
-0.7103248,0.67856264,0.9627448
-0.6901468,0.66408575,0.96514577
-0.67103386,0.64947486,0.9672611
-0.65268004,0.6347774,0.9691924
-0.634747,0.6199931,0.97076344
-0.6170829,0.605023,0.9716741
-0.5997898,0.58969295,0.9717037
-0.58292204,0.5737375,0.97074354
-0.5663229,0.55692995,0.9686783
-0.54977804,0.539242,0.96525246
-0.533189,0.5207534,0.96023214
-0.51648605,0.5015178,0.953814
-0.49952132,0.48154917,0.9467947
-0.4819622,0.46063736,0.9403127
-0.46343848,0.4381574,0.9353846
-0.44391307,0.4133418,0.9327053
-0.42372876,0.38590243,0.93273735
-0.40343776,0.35645142,0.935472
-0.38355675,0.32625833,0.940184
-0.364676,0.29685166,0.94558346
-0.3472588,0.26994053,0.9498386
-0.33111182,0.24586877,0.9527317
