0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
-0.980518,1.002675,0.95134276,-0.9152166,1.0741228,0.9094231,-1.0302314,0.9406704,0.9052174,-0.9808221,0.9982602,0.99623954,-0.8814735,1.1818787,0.4706604,-1.1140924,0.8648407,0.5004634,-0.9499095,0.974682,1.0590665,-0.89565396,1.1933429,0.06639701,-1.1234678,0.88520586,0.085001945,-0.96894425,0.97891915,1.1091753,-0.7386534,1.1986728,0.010636985,-1.0335544,0.786399,0.02060908,-1.009278,0.99971986,1.5165575,-0.9300698,1.0644876,1.2961668,-1.0607924,0.9095844,1.2978733,-0.9556993,0.9786657,1.6553636,-0.84850824,1.1667379,1.3212764,-1.1410384,0.80630386,1.3668096,-0.67773724,1.3691154,1.2669048,-1.3087807,0.59795123,1.2527683,-0.5334227,1.5043292,1.268347,-1.4468601,0.41742897,1.270304,-0.48253065,1.5535991,1.2588705,-1.4958963,0.35959858,1.2688727
-0.980409,1.0026982,0.95134985,-0.91509473,1.0741363,0.9094337,-1.0301281,0.9407002,0.90522194,-0.9807167,0.998284,0.99624664,-0.8813808,1.1818769,0.47066498,-1.1140366,0.86486924,0.500478,-0.94982433,0.9747105,1.0590854,-0.89564383,1.1933379,0.0664044,-1.1234747,0.88521004,0.08501679,-0.96889,0.97896314,1.1091812,-0.738655,1.1986653,0.010611117,-1.0335634,0.786406,0.02061671,-1.0094148,0.99983776,1.5165405,-0.93010414,1.0645661,1.2961751,-1.0608256,0.90966165,1.2978487,-0.955784,0.9787268,1.6553179,-0.8485639,1.166834,1.3212829,-1.1411107,0.806391,1.3667544,-0.6777642,1.3692144,1.2670127,-1.308799,0.59792686,1.2528377,-0.53346586,1.5044452,1.2684928,-1.4468491,0.41738915,1.2704436,-0.4825822,1.5537351,1.2590756,-1.4958766,0.35954958,1.2690753
-0.9803169,1.0027206,0.9513616,-0.91498405,1.0741422,0.9094466,-1.0300456,0.9407305,0.90523326,-0.980629,0.9983089,0.9962586,-0.88127196,1.1818609,0.47067225,-1.113989,0.8648901,0.5004983,-0.9497543,0.97473055,1.0591042,-0.89563054,1.193329,0.06641525,-1.1234863,0.8852216,0.08503783,-0.9688569,0.979011,1.1091835,-0.73864216,1.198661,0.01062119,-1.0335622,0.78642726,0.02064073,-1.0095674,0.99997747,1.5165198,-0.93015146,1.0646527,1.2961767,-1.0608835,0.90975666,1.2978241,-0.9559152,0.97883135,1.6552836,-0.84862614,1.1669321,1.3212852,-1.1412122,0.8065009,1.3667012,-0.6777907,1.3693013,1.2670853,-1.3088155,0.5979254,1.2528629,-0.5335056,1.5045462,1.2685834,-1.4468365,0.41736674,1.2704839,-0.48263407,1.5538608,1.2592299,-1.4958849,0.35954344,1.2691824
-0.9802376,1.0027428,0.9513737,-0.9148833,1.0741429,0.9094552,-1.0299803,0.94076145,0.90524876,-0.98055345,0.9983358,0.99627113,-0.88116765,1.1818397,0.47067574,-1.1139601,0.86490935,0.5005236,-0.9496957,0.97474706,1.0591213,-0.8956182,1.1933185,0.06642228,-1.1235003,0.88524103,0.08506423,-0.9688375,0.97906226,1.1091826,-0.7386309,1.1986505,0.010625184,-1.0335665,0.78645223,0.020672143,-1.009731,1.0001262,1.5164955,-0.9302121,1.0647457,1.2961731,-1.060953,0.909857,1.2977978,-0.95609057,0.9789657,1.6552615,-0.8487026,1.1670351,1.3212924,-1.1413193,0.8066201,1.3666594,-0.6778291,1.3693752,1.267104,-1.3088167,0.59794295,1.2528516,-0.5335475,1.5046237,1.2686101,-1.4468356,0.41737986,1.2704434,-0.48269027,1.553965,1.2593203,-1.4959373,0.35960072,1.2691969
-0.9801668,1.0027711,0.9513827,-0.9147907,1.0741493,0.9094607,-1.0299252,0.94079995,0.9052611,-0.9804857,0.998368,0.9962805,-0.8810888,1.1818177,0.47067332,-1.1139566,0.8649429,0.5005475,-0.9496447,0.9747691,1.059135,-0.89560866,1.1933042,0.06642264,-1.1235176,0.88526016,0.085088015,-0.96882355,0.97911394,1.1091795,-0.7386238,1.1986296,0.01061821,-1.0335854,0.7864718,0.020693064,-1.0099115,1.0002716,1.5164678,-0.93028873,1.0648413,1.2961684,-1.0610278,0.90995073,1.2977668,-0.9563119,0.9791212,1.6552513,-0.84879506,1.1671402,1.3213001,-1.1414287,0.80672824,1.3666093,-0.6778776,1.3694384,1.2670937,-1.3088347,0.5979788,1.2527997,-0.53359085,1.5046812,1.2686028,-1.4468808,0.4174319,1.2703432,-0.482745,1.5540388,1.2593367,-1.4960377,0.35969967,1.2690971
-0.98012745,1.0028126,0.95138144,-0.91473705,1.0741774,0.909459,-1.0298963,0.94084936,0.90526044,-0.98044825,0.9984109,0.99627936,-0.88105,1.1818113,0.470662,-1.1139606,0.8649879,0.50055456,-0.9496209,0.97480637,1.0591384,-0.89559716,1.1932938,0.06641215,-1.1235243,0.88527185,0.08509338,-0.96882546,0.97916746,1.1091717,-0.7386074,1.1986175,0.0106211305,-1.0336044,0.7864795,0.020687342,-1.0100901,1.0004108,1.5164378,-0.9303744,1.0649362,1.2961589,-1.0611087,0.91004145,1.297734,-0.9565427,0.9792793,1.6552441,-0.84889084,1.1672431,1.321291,-1.141539,0.8068246,1.3665509,-0.67794156,1.3695095,1.2670658,-1.3088965,0.59806323,1.2526921,-0.5336466,1.5047435,1.2685755,-1.4469688,0.41753095,1.2701814,-0.4828028,1.5540994,1.2592894,-1.4961503,0.35982072,1.268888
-0.9800912,1.0028548,0.9513787,-0.91469085,1.0742108,0.909457,-1.0298667,0.9408971,0.90525717,-0.9804137,0.9984535,0.9962767,-0.88101864,1.1818115,0.47065073,-1.1139508,0.86502767,0.5005569,-0.9495986,0.9748434,1.0591396,-0.8955786,1.1932818,0.066401005,-1.1235125,0.88526917,0.08509368,-0.96882784,0.97921824,1.1091623,-0.7385776,1.1986098,0.0106419325,-1.0336087,0.7864701,0.02067554,-1.0102751,1.0005565,1.5164049,-0.930462,1.0650315,1.2961466,-1.0611943,0.9101349,1.2976995,-0.95678705,0.9794395,1.6552365,-0.8489828,1.1673443,1.3212693,-1.1416559,0.8069241,1.3664886,-0.67800957,1.3695844,1.2670224,-1.308965,0.5981873,1.2525132,-0.53370744,1.5048108,1.2685268,-1.4470484,0.41765577,1.2699207,-0.4828645,1.5541623,1.2592118,-1.49624,0.3599556,1.2685633
-0.9800674,1.0028963,0.9513908,-0.9146613,1.0742465,0.9094682,-1.029847,0.94094145,0.90527016,-0.9803906,0.9984962,0.99628884,-0.88103724,1.1818435,0.47065726,-1.1139672,0.865079,0.5005761,-0.94958717,0.9748752,1.0591534,-0.895615,1.1932893,0.06640744,-1.1235281,0.8852736,0.085110545,-0.9688469,0.97927016,1.1091627,-0.73859966,1.1986326,0.010690451,-1.0336404,0.7864656,0.020683527,-1.010485,1.000777,1.5163767,-0.93055993,1.0651542,1.2961307,-1.0613108,0.9102732,1.2976837,-0.95706457,0.9796654,1.6552352,-0.8490683,1.1674693,1.3212034,-1.1418192,0.80708754,1.3664558,-0.6780871,1.3696866,1.2668955,-1.3090246,0.5984237,1.252195,-0.5337904,1.5049193,1.2683535,-1.4470572,0.417839,1.2694539,-0.48296088,1.5542752,1.2589891,-1.4962089,0.36010742,1.2679937
-0.98008466,1.0029275,0.95138496,-0.91467583,1.0742722,0.90945727,-1.0298642,0.940969,0.90526897,-0.9804093,0.9985317,0.9962834,-0.8810749,1.1818935,0.47065055,-1.1140037,0.86512244,0.50057584,-0.94961303,0.9749096,1.059151,-0.89563024,1.1933043,0.06639898,-1.1235324,0.8852861,0.08510798,-0.9688896,0.97932005,1.1091524,-0.7386143,1.1986479,0.010683477,-1.0336397,0.7864728,0.020696104,-1.0106255,1.0009588,1.5163496,-0.9306269,1.0652492,1.2961047,-1.0614201,0.91040397,1.2976704,-0.95725036,0.9798505,1.655226,-0.84912217,1.167564,1.3211358,-1.1419901,0.8072469,1.3664134,-0.6781385,1.3697703,1.2667952,-1.3090291,0.59860754,1.251865,-0.5338633,1.5050268,1.2681863,-1.4469874,0.4179474,1.2689264,-0.48306066,1.5544031,1.2587836,-1.4960657,0.360156,1.2673643
-0.9801395,1.0029495,0.9513758,-0.91472465,1.074283,0.9094383,-1.0299214,0.94098645,0.9052685,-0.98046595,0.9985613,0.996275,-0.88112444,1.1819283,0.47063738,-1.1140862,0.8651838,0.50057244,-0.9496671,0.9749445,1.0591433,-0.8956432,1.1933182,0.06638384,-1.1235476,0.8853073,0.08510113,-0.9689538,0.9793705,1.1091394,-0.738623,1.198662,0.010680437,-1.0336484,0.78648996,0.020704389,-1.0107453,1.0011206,1.516325,-0.93069625,1.0653353,1.2960763,-1.0615313,0.9105256,1.2976604,-0.9574132,0.98002124,1.6552192,-0.8491862,1.1676509,1.3210865,-1.1421628,0.8073827,1.3663523,-0.67818254,1.3698351,1.2667265,-1.3089821,0.5987324,1.2515041,-0.53394467,1.5051321,1.268039,-1.4468856,0.41800475,1.2682923,-0.4831829,1.5545413,1.2585887,-1.4959173,0.36017752,1.2665955
